Address,CategoryID,CategoryName,City,ContactName,COS,Country,Customer,CustomerID,Description,Discount,EmployeeID,Fax,Freight,GP,Month,OrderID,Phone,PostalCode,ProductID,ProductName,Quantity,Quarter,Sales,ShipperID,SupplierID,OrderDate
1 rue Alsace-Lorraine,1,Men´s Clothes,Toulouse,Louise Davu,417.5107,France,Elle Fashion & Design,41,Fashion for Men,0,5,61.77.61.11,64.69,86.7293,Oct,10413,61.77.61.10,31000,1,Lenin Jeansshorts,24,Q4,504.24,1,1,10/20/2015
1 rue Alsace-Lorraine,2,Womens wear,Toulouse,Louise Davu,63.8885,France,Elle Fashion & Design,41,Fashion for Women,3.858,5,61.77.61.11,53.28,17.1295,Apr,10500,61.77.61.10,31000,15,Sumi Underwear,12,Q2,81.018,1,6,4/14/2016
1 rue Alsace-Lorraine,2,Womens wear,Toulouse,Louise Davu,961.5917,France,Elle Fashion & Design,41,Fashion for Women,218.048,5,61.77.61.11,30.97,346.6963,Nov,10832,61.77.61.10,31000,44,Okkaba Skin Jackets,16,Q4,1308.288,1,20,11/19/2016
1 rue Alsace-Lorraine,2,Womens wear,Toulouse,Louise Davu,1354.117,France,Elle Fashion & Design,41,Fashion for Women,307.056,4,61.77.61.11,76.9,488.219,Jun,10923,61.77.61.10,31000,67,X-Dress,24,Q2,1842.336,1,16,6/5/2017
1 rue Alsace-Lorraine,2,Womens wear,Toulouse,Louise Davu,4810.2163,France,Elle Fashion & Design,41,Fashion for Women,0,5,61.77.61.11,64.69,999.2237,Oct,10413,61.77.61.10,31000,76,Minnki Pälsii,14,Q4,5809.44,1,23,10/20/2015
1 rue Alsace-Lorraine,2,Womens wear,Toulouse,Louise Davu,5985.2808,France,Elle Fashion & Design,41,Fashion for Women,1807.15,4,61.77.61.11,23.12,3050.4692,Sep,10425,61.77.61.10,31000,76,Minnki Pälsii,20,Q3,9035.75,1,23,9/30/2015
1 rue Alsace-Lorraine,3,Sportwear,Toulouse,Louise Davu,121.716,France,Elle Fashion & Design,41,Sports…,27.6,5,61.77.61.11,30.97,43.884,Nov,10832,61.77.61.10,31000,25,Basket Vest,10,Q4,165.6,1,11,11/19/2016
1 rue Alsace-Lorraine,3,Sportwear,Toulouse,Louise Davu,298.4112,France,Elle Fashion & Design,41,Sports…,90.1,4,61.77.61.11,23.12,152.0888,Sep,10425,61.77.61.10,31000,55,Feiss Fleece Trousers,10,Q3,450.5,1,25,9/30/2015
1 rue Alsace-Lorraine,3,Sportwear,Toulouse,Louise Davu,1005.8544,France,Elle Fashion & Design,41,Sports…,0,5,61.77.61.11,64.69,208.9456,Oct,10413,61.77.61.10,31000,62,Sheat Shoes,40,Q4,1214.8,1,29,10/20/2015
1 rue Alsace-Lorraine,4,Bath Clothes,Toulouse,Louise Davu,113.2488,France,Elle Fashion & Design,41,Beachwear,25.68,4,61.77.61.11,76.9,40.8312,Jun,10923,61.77.61.10,31000,43,Summer Shorts,10,Q2,154.08,1,20,6/5/2017
